Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Claude Gregory\gregocl01,1986,1988,F,6-8,205,December 26 1958,University of Wisconsin
John Greig\greigjo01,1983,1983,F,6-7,215,April 28 1961,University of Oregon
Norm Grekin\grekino01,1954,1954,F,6-5,180,June 22 1930,La Salle University
Kevin Grevey\greveke01,1976,1985,G-F,6-5,210,May 12 1953,University of Kentucky
Dennis Grey\greyde01,1969,1970,C-F,6-8,215,August 26 1947,California Western Uiversity
Adrian Griffin\griffad01,2000,2008,G-F,6-5,217,July 4 1974,Seton Hall University
Blake Griffin\griffbl01,2011,2019,F,6-10,250,March 16 1989,University of Oklahoma
Eddie Griffin\griffed01,2002,2007,F-C,6-10,220,May 30 1982,Seton Hall University
Greg Griffin\griffgr01,1978,1978,F,6-7,190,September 6 1952,Idaho State University
Paul Griffin\griffpa01,1977,1983,F-C,6-9,205,January 20 1954,Western Michigan University
Taylor Griffin\griffta01,2010,2010,F,6-7,238,April 18 1986,University of Oklahoma
Darrell Griffith\griffda01,1981,1991,G,6-4,190,June 16 1958,University of Louisville
Chuck Grigsby\grigsch01,1955,1955,G,6-5,190,August 15 1928,University of Dayton
Derek Grimm\grimmde01,1998,1998,F,6-9,230,August 3 1974,University of Missouri
Woody Grimshaw\grimswo01,1947,1947,G,6-1,185,September 24 1919,Brown University
Dick Groat\groatdi01,1953,1953,G,5-11,180,November 4 1930,Duke University
Bob Gross\grossbo01,1976,1983,F-G,6-6,200,August 3 1953,Seattle University California State University Long Beach
Mike Grosso\grossmi01,1972,1972,C,6-9,230,September 7 1947,University of Louisville
Jerry Grote\groteje01,1965,1965,G,6-4,215,December 28 1940,Loyola Marymount University
Alex Groza\grozaal01,1950,1951,C,6-7,218,October 7 1926,University of Kentucky
Dick Grubar\grubadi01,1970,1970,G,6-4,184,July 26 1947,University of North Carolina
Anthony Grundy\grundan01,2006,2006,G,6-3,180,April 15 1979,North Carolina State University
Ernie Grunfeld\grunfer01,1978,1986,G-F,6-6,210,April 24 1955,University of Tennessee
Gene Guarilia\guarige01,1960,1963,F,6-5,220,September 13 1937,George Washington University
Petur Gudmundsson\gudmupe01,1982,1989,C,7-2,260,October 30 1958,University of Washington
Richie Guerin*\gueriri01,1957,1970,G,6-4,195,May 29 1932,Iona College
Tom Gugliotta\guglito01,1993,2005,F,6-10,240,December 19 1969,North Carolina State University
Andres Guibert\guibean01,1994,1995,F-C,6-10,225,October 28 1968,
Jay Guidinger\guidija01,1993,1994,C,6-10,255,August 18 1969,University of Minnesota Duluth
Coulby Gunther\gunthco01,1947,1949,F,6-4,190,February 5 1923,Boston College
Dave Gunther\gunthda01,1963,1963,F,6-7,190,July 22 1937,University of Iowa
Al Guokas\guokaal01,1950,1950,F-G,6-5,200,August 7 1925,Saint Joseph's University
Matt Guokas\guokama01,1947,1947,F,6-3,195,November 11 1915,Saint Joseph's University
Matt Guokas\guokama02,1967,1976,G-F,6-5,175,February 25 1944,Saint Joseph's University
Jorge Gutierrez\gutiejo01,2014,2016,G,6-3,191,December 27 1988,University of California
A.J. Guyton\guytoaj01,2001,2003,G,6-1,180,February 12 1978,Indiana University
Rudy Hackett\hackeru01,1976,1977,F,6-9,210,May 10 1953,Syracuse University
Hamed Haddadi\haddaha01,2009,2013,C,7-2,254,May 19 1985,
Jim Hadnot\hadnoji01,1968,1968,C-F,6-10,235,January 15 1940,Providence College
Scott Haffner\haffnsc01,1990,1991,G,6-3,180,February 2 1966,University of Illinois at Urbana-Champaign University of Evansville
Cliff Hagan*\hagancl01,1957,1970,F-G,6-4,210,December 9 1931,University of Kentucky
Glenn Hagan\hagangl01,1982,1982,G,6-0,170,June 25 1955,St. Bonaventure University
Tom Hagan\haganto01,1970,1971,G,6-3,185,January 29 1947,Vanderbilt University
Robert Hahn\hahnro01,1950,1950,C,6-10,240,August 25 1925,North Carolina State University
Al Hairston\hairsal01,1969,1970,G,6-1,170,December 11 1945,Bowling Green State University
Happy Hairston\hairsha01,1965,1975,F,6-7,225,May 31 1942,New York University
Lindsay Hairston\hairsli01,1976,1976,F-C,6-7,180,December 8 1951,Michigan State University
Malik Hairston\hairsma01,2009,2010,G,6-6,220,February 23 1987,University of Oregon
P.J. Hairston\hairspj02,2015,2016,G-F,6-6,230,December 24 1992,University of North Carolina
Marcus Haislip\haislma01,2003,2010,F,6-10,230,December 22 1980,University of Tennessee
Chick Halbert\halbech01,1947,1951,C,6-9,225,February 27 1919,West Texas A&M University
Swede Halbrook\halbrsw01,1961,1962,C,7-3,235,January 30 1933,Oregon State University
Bruce Hale\halebr01,1949,1951,G-F,6-1,170,August 30 1918,Santa Clara University
Hal Hale\haleha01,1968,1968,G,6-1,180,September 21 1945,Utah State University
Jack Haley\haleyja01,1989,1998,C-F,6-10,240,January 27 1964,University of California Los Angeles
Shaler Halimon\halimsh01,1969,1973,G-F,6-5,199,March 30 1945,Utah State University
Mike Hall\hallmi01,2007,2007,F,6-8,230,June 5 1984,George Washington University
Jeff Halliburton\hallije01,1972,1973,G,6-5,193,July 3 1949,Drake University
Darvin Ham\hamda01,1997,2005,F,6-7,220,July 23 1973,Texas Tech University
Steve Hamer\hamerst01,1997,1997,C,7-0,245,November 13 1973,University of Tennessee
Dale Hamilton\hamilda01,1950,1950,G-F,6-0,180,August 16 1919,Franklin College
Daniel Hamilton\hamilda02,2018,2019,G-F,6-7,195,August 8 1995,University of Connecticut
Dennis Hamilton\hamilde01,1968,1971,F,6-8,210,May 8 1944,Arizona State University
Joe Hamilton\hamiljo01,1971,1976,G,5-10,160,July 5 1948,University of North Texas
Jordan Hamilton\hamiljo02,2012,2016,G-F,6-7,220,October 6 1990,University of Texas at Austin
Justin Hamilton\hamilju01,2014,2017,C,7-0,260,April 1 1990,Iowa State University Louisiana State University
Ralph Hamilton\hamilra01,1949,1949,G-F,6-1,188,June 10 1921,Indiana University
Richard Hamilton\hamilri01,2000,2013,G-F,6-6,185,February 14 1978,University of Connecticut
Roy Hamilton\hamilro01,1980,1981,G,6-2,180,July 20 1957,University of California Los Angeles
Steve Hamilton\hamilst01,1959,1960,F-C,6-6,190,November 30 1934,Morehead State University
Tang Hamilton\hamilta01,2002,2002,F,6-8,220,May 26 1978,Mississippi State University
Thomas Hamilton\hamilth01,1996,2000,C,7-2,330,April 3 1975,University of Pittsburgh
Zendon Hamilton\hamilze01,2001,2006,C-F,6-11,250,April 27 1975,St. John's University
Geert Hammink\hammige01,1994,1996,C,7-0,262,July 12 1969,Louisiana State University
Julian Hammond\hammoju01,1968,1972,F,6-5,205,May 27 1943,University of Tulsa
Tom Hammonds\hammoto01,1990,2001,F,6-9,215,March 27 1967,Georgia Institute of Technology
A.J. Hammons\hammoaj01,2017,2017,C,7-0,260,August 27 1992,Purdue University
Joe Hamood\hamoojo01,1968,1968,G,6-0,180,September 7 1943,University of Houston
Darrin Hancock\hancoda01,1995,1997,G-F,6-7,205,November 3 1971,University of Kansas
Ben Handlogten\handlbe01,2004,2005,C,6-10,240,November 16 1973,Western Michigan University
Cecil Hankins\hankice01,1947,1948,G,6-1,175,January 6 1922,Oklahoma State University
Phil Hankinson\hankiph01,1974,1975,F,6-8,195,July 26 1951,University of Pennsylvania
Dusty Hannahs\hannadu01,2019,2019,G,6-3,210,September 2 1993,Texas Tech University University of Arkansas
Alex Hannum*\hannual01,1950,1957,F-C,6-7,210,July 19 1923,University of Southern California
Don Hanrahan\hanrado01,1953,1953,F,6-7,200,February 6 1929,Loyola University of Chicago
Rollen Hans\hansro01,1954,1955,G,6-2,210,April 13 1931,Long Island University
Ben Hansbrough\hansbbe01,2013,2013,G,6-3,203,December 23 1987,Mississippi State University University of Notre Dame
Tyler Hansbrough\hansbty01,2010,2016,F,6-9,250,November 3 1985,University of North Carolina
Bob Hansen\hansebo01,1984,1992,G,6-6,190,January 18 1961,University of Iowa
Glenn Hansen\hansegl01,1976,1978,G,6-4,205,April 21 1952,Louisiana State University
Lars Hansen\hansela01,1979,1979,C,6-10,225,September 14 1954,University of Washington
Travis Hansen\hansetr01,2004,2004,G,6-6,205,April 15 1978,Utah Valley State College Brigham Young University
Reggie Hanson\hansore01,1998,1998,F,6-8,195,October 6 1968,University of Kentucky
Bill Hanzlik\hanzlbi01,1981,1990,G-F,6-7,185,December 6 1957,University of Notre Dame
Luke Harangody\haranlu01,2011,2012,F,6-8,246,January 2 1988,University of Notre Dame
Anfernee Hardaway\hardaan01,1994,2008,G-F,6-7,195,July 18 1971,University of Memphis
Tim Hardaway\hardati01,1990,2003,G,6-0,175,September 1 1966,University of Texas at El Paso
Tim Hardaway\hardati02,2014,2019,G,6-6,205,March 16 1992,University of Michigan
James Harden\hardeja01,2010,2019,G,6-5,220,August 26 1989,Arizona State University
Reggie Harding\hardire01,1964,1968,C,7-0,249,May 4 1942,
Charlie Hardnett\hardnch01,1963,1965,F-C,6-8,225,September 13 1938,Grambling State University
Alan Hardy\hardyal01,1981,1982,F,6-7,195,May 25 1957,University of Michigan
Darrell Hardy\hardyda01,1968,1968,F,6-7,220,,Baylor University
James Hardy\hardyja01,1979,1982,F-C,6-8,220,December 1 1956,University of San Francisco
Ira Harge\hargeir01,1968,1973,C,6-9,225,March 14 1941,University of New Mexico
John Hargis\hargijo01,1950,1951,G-F,6-2,180,August 20 1920,University of Texas at Austin
Maurice Harkless\harklma01,2013,2019,F-G,6-9,220,May 11 1993,St. John's University
Jerry Harkness\harknje01,1964,1969,G,6-2,175,May 7 1940,Loyola University of Chicago
Skip Harlicka\harlisk01,1969,1969,G,6-1,185,October 14 1946,University of South Carolina
Jerome Harmon\harmoje01,1995,1995,G,6-4,190,February 6 1969,University of Louisville
Derek Harper\harpede01,1984,1999,G,6-4,185,October 13 1961,University of Illinois at Urbana-Champaign
Justin Harper\harpeju01,2012,2017,F,6-10,225,August 30 1989,University of Richmond
Mike Harper\harpemi01,1981,1982,C-F,6-10,195,December 9 1957,North Park University
Ron Harper\harpero01,1987,2001,G-F,6-6,185,January 20 1964,Miami University
Matt Harpring\harprma01,1999,2009,F,6-7,231,May 31 1976,Georgia Institute of Technology
Montrezl Harrell\harremo01,2016,2019,F-C,6-8,240,January 26 1994,University of Louisville
Josh Harrellson\harrejo01,2012,2014,C,6-10,275,February 12 1989,University of Kentucky
Adam Harrington\harriad01,2003,2003,G,6-5,200,July 5 1980,North Carolina State University Auburn University
Al Harrington\harrial01,1999,2014,F,6-9,230,February 17 1980,
Junior Harrington\harriju01,2003,2007,G,6-4,180,October 2 1980,Wingate University
Othella Harrington\harriot01,1997,2008,F-C,6-9,235,January 31 1974,Georgetown University
Art Harris\harriar01,1969,1972,G,6-4,185,January 13 1947,Stanford University
Bernie Harris\harribe01,1975,1975,F,6-10,200,November 26 1950,Virginia Commonwealth University
Billy Harris\harribi01,1975,1975,G,6-2,185,November 12 1951,Northern Illinois University
Bob Harris\harribo01,1950,1954,F-C,6-7,195,March 16 1927,Oklahoma State University
Chris Harris\harrich01,1956,1956,G,6-3,190,August 11 1933,University of Dayton
Devin Harris\harride01,2005,2019,G,6-3,185,February 27 1983,University of Wisconsin
Elias Harris\harriel01,2014,2014,F,6-8,239,July 6 1989,Gonzaga University
Gary Harris\harriga01,2015,2019,G,6-4,210,September 14 1994,Michigan State University
Joe Harris\harrijo01,2015,2019,G,6-6,218,September 6 1991,University of Virginia
Lucious Harris\harrilu01,1994,2005,G,6-5,190,December 18 1970,California State University Long Beach
Manny Harris\harrima01,2011,2017,G,6-5,185,September 21 1989,University of Michigan
Mike Harris\harrimi01,2008,2014,F,6-6,240,June 15 1983,Rice University
Steve Harris\harrist01,1986,1990,G,6-5,195,October 15 1963,University of Tulsa
Terrel Harris\harrite01,2012,2013,G,6-5,190,August 10 1987,Oklahoma State University
Tobias Harris\harrito02,2012,2019,F,6-9,235,July 15 1992,University of Tennessee
Tony Harris\harrito01,1991,1995,G,6-3,190,May 13 1967,Lamar University University of New Orleans
Aaron Harrison\harriaa01,2016,2018,G,6-6,210,October 28 1994,University of Kentucky
Andrew Harrison\harrian01,2017,2019,G,6-6,213,October 28 1994,University of Kentucky
Bob Harrison\harribo02,1950,1958,G,6-1,190,August 12 1927,University of Michigan
David Harrison\harrida01,2005,2008,C,7-0,280,August 15 1982,University of Colorado
Shaquille Harrison\harrish01,2018,2019,G,6-4,190,October 6 1993,University of Tulsa
Jason Hart\hartja01,2001,2010,G,6-3,185,April 29 1978,Syracuse University
Josh Hart\hartjo01,2018,2019,G,6-5,215,March 6 1995,Villanova University
Isaiah Hartenstein\harteis01,2019,2019,F,7-0,249,May 5 1998,
Antonio Harvey\harvean01,1994,2003,F-C,6-11,225,July 6 1970,Southern Illinois University University of Georgia Pfeiffer University
Donnell Harvey\harvedo01,2001,2005,F,6-8,220,August 26 1980,University of Florida
Scott Haskin\haskisc01,1994,1994,C-F,6-11,250,September 19 1970,Oregon State University
Clem Haskins\haskicl01,1968,1976,G,6-3,195,July 11 1943,Western Kentucky University
Udonis Haslem\hasleud01,2004,2019,F-C,6-8,235,June 9 1980,University of Florida
Trenton Hassell\hassetr01,2002,2010,G,6-5,200,March 4 1979,Austin Peay State University
Billy Hassett\hassebi01,1950,1951,G,5-11,180,October 21 1921,University of Notre Dame
Joe Hassett\hassejo01,1978,1983,G,6-5,180,September 11 1955,Providence College
Scott Hastings\hastisc01,1983,1993,F-C,6-10,235,June 3 1960,University of Arkansas
Kirk Haston\hastoki01,2002,2003,F,6-9,242,March 10 1979,Indiana University
Vern Hatton\hattove01,1959,1962,G,6-3,195,January 13 1936,University of Kentucky
John Havlicek*\havlijo01,1963,1978,F-G,6-5,203,April 8 1940,Ohio State University
Spencer Hawes\hawessp01,2008,2017,C-F,7-1,245,April 28 1988,University of Washington
Steve Hawes\hawesst01,1975,1984,C-F,6-9,220,May 26 1950,University of Washington
Bubbles Hawkins\hawkiro01,1976,1979,G,6-4,190,June 30 1954,Illinois State University
Connie Hawkins*\hawkico01,1968,1976,F-C,6-8,210,July 17 1942,University of Iowa
Hersey Hawkins\hawkihe01,1989,2001,G,6-3,190,September 29 1966,Bradley University
Juaquin Hawkins\hawkiju01,2003,2003,G-F,6-7,220,July 2 1973,California State University Long Beach
Marshall Hawkins\hawkima01,1950,1950,F,6-3,205,August 3 1924,University of Tennessee
Michael Hawkins\hawkimi01,1997,2001,G,6-0,178,October 28 1972,Xavier University
Tom Hawkins\hawkito01,1960,1969,F,6-5,210,December 22 1936,University of Notre Dame
Nate Hawthorne\hawthna01,1974,1976,G,6-4,190,January 15 1950,Southern Illinois University
Chuck Hayes\hayesch01,2006,2016,F-C,6-6,240,June 11 1983,University of Kentucky
Elvin Hayes*\hayesel01,1969,1984,F-C,6-9,235,November 17 1945,University of Houston
Jarvis Hayes\hayesja01,2004,2010,F,6-7,220,August 9 1981,Western Carolina University University of Georgia
Jim Hayes\hayesji01,1971,1971,G,6-3,200,February 18 1948,Boston University
Nigel Hayes\hayesni01,2018,2018,F,6-8,254,December 16 1994,University of Wisconsin
Steve Hayes\hayesst01,1982,1986,C,7-0,205,August 2 1955,Idaho State University
Gordon Hayward\haywago01,2011,2019,F-G,6-8,225,March 23 1990,Butler University
Lazar Hayward\haywala01,2011,2013,F,6-6,225,November 26 1986,Marquette University
Brendan Haywood\haywobr01,2002,2015,C,7-0,268,November 27 1979,University of North Carolina
Spencer Haywood*\haywosp01,1970,1983,F-C,6-8,225,April 22 1949,University of Detroit Mercy
John Hazen\hazenjo01,1949,1949,G,6-2,172,March 2 1927,Indiana State University
Walt Hazzard\abdulma01,1965,1974,G,6-2,185,April 15 1942,University of California Los Angeles
Luther Head\headlu01,2006,2011,G,6-3,185,November 26 1982,University of Illinois at Urbana-Champaign
Shane Heal\healsh01,1997,2004,G,6-0,180,September 6 1970,
Brian Heaney\heanebr01,1970,1970,G,6-2,180,September 3 1946,Acadia University
Gar Heard\heardga01,1971,1981,F,6-6,219,May 3 1948,University of Oklahoma
Reggie Hearn\hearnre01,2018,2018,G,6-5,210,August 14 1991,Northwestern University
Herm Hedderick\heddehe01,1955,1955,G,6-5,170,January 10 1930,Canisius College
Alvin Heggs\heggsal01,1996,1996,F,6-8,225,December 12 1967,University of Texas at Austin
Tom Heinsohn*\heinsto01,1957,1965,F-C,6-7,218,August 26 1934,College of the Holy Cross
Dick Hemric\hemridi01,1956,1957,F,6-6,220,August 29 1933,Wake Forest University
Alan Henderson\hendeal01,1996,2007,F,6-9,235,December 2 1972,Indiana University
Cedric Henderson\hendece01,1987,1987,F,6-8,210,October 3 1965,University of Georgia
Cedric Henderson\hendece02,1998,2002,F,6-7,215,March 11 1975,University of Memphis
Dave Henderson\hendeda01,1988,1988,G,6-5,195,July 21 1964,Duke University
Gerald Henderson\hendege01,1980,1992,G,6-2,175,January 16 1956,Virginia Commonwealth University
Gerald Henderson\hendege02,2010,2017,G,6-5,215,December 9 1987,Duke University
J.R. Henderson\hendejr01,1999,1999,F,6-8,226,October 30 1976,University of California Los Angeles
Jerome Henderson\hendeje01,1986,1987,C-F,6-11,230,October 5 1959,University of New Mexico
Kevin Henderson\hendeke01,1987,1988,G,6-4,195,March 22 1964,California State University Fullerton
Tom Henderson\hendeto01,1975,1983,G,6-3,190,January 26 1952,University of Hawaii
Mark Hendrickson\hendrma01,1997,2000,F,6-9,220,June 23 1974,Washington State University
Larry Hennessy\hennela01,1956,1957,G,6-3,185,May 20 1929,Villanova University
Don Henriksen\henrido01,1953,1955,F-C,6-7,225,October 10 1929,University of California
Al Henry\henryal01,1971,1972,C,6-9,190,February 9 1949,University of Wisconsin
Bill Henry\henrybi01,1949,1950,C,6-9,215,December 27 1924,Rice University
Carl Henry\henryca01,1986,1986,G,6-6,205,August 16 1960,Oklahoma City University University of Kansas
Conner Henry\henryco01,1987,1988,G,6-7,195,July 21 1963,University of California Santa Barbara
Myke Henry\henrymy01,2018,2018,F,6-6,210,December 23 1992,DePaul University
Skeeter Henry\henrysk01,1994,1994,G,6-7,190,December 8 1967,Midland College University of Oklahoma
Xavier Henry\henryxa01,2011,2015,G,6-6,220,March 15 1991,University of Kansas
John Henson\hensojo01,2013,2019,C-F,6-11,219,December 28 1990,University of North Carolina
Steve Henson\hensost01,1991,1999,G,5-11,177,February 2 1968,Kansas State University
Charles Hentz\hentzch01,1971,1971,F,6-5,210,September 13 1947,University of Arkansas at Pine Bluff
Bill Herman\hermabi01,1950,1950,G,6-3,170,May 17 1924,Mount Union College
Kleggie Hermsen\hermskl01,1947,1953,C-F,6-9,225,March 12 1923,University of Minnesota
Juan Hernangomez\hernaju01,2017,2019,F,6-9,230,September 28 1995,
